Time,CPU Util (%),GPU Util (%),GPU Mem Util (%),GPU Mem Used (MB),GPU Mem Total (MB)
0,0.0,0,0,285.0,12282.0
3,0.0,0,0,285.0,12282.0
6,0.0,0,0,285.0,12282.0
9,0.74375,0,0,285.0,12282.0
12,2.703125,29,1,5836.01953125,12282.0
15,2.475,39,29,6242.01953125,12282.0
18,2.29375,47,36,6260.01953125,12282.0
21,2.621875,60,46,6260.01953125,12282.0
24,2.521875,52,39,6260.01953125,12282.0
27,2.571875,53,40,6260.01953125,12282.0
30,2.55625,50,38,6260.01953125,12282.0
33,2.571875,47,36,6260.01953125,12282.0
36,3.075,65,49,6260.01953125,12282.0
39,2.734375,60,45,6692.01953125,12282.0
42,3.028125,67,51,6692.01953125,12282.0
45,3.04375,72,53,6692.01953125,12282.0
48,2.978125,73,54,6692.01953125,12282.0
51,3.059375,75,55,6692.01953125,12282.0
54,2.6375,99,50,6980.01953125,12282.0
57,3.075,75,56,6980.01953125,12282.0
60,3.059375,71,53,6980.01953125,12282.0
63,2.946875,74,55,6980.01953125,12282.0
66,3.028125,63,49,6980.01953125,12282.0
69,2.9625,76,57,6980.01953125,12282.0
72,1.140625,0,0,6980.01953125,12282.0
75,0.0,0,0,6980.01953125,12282.0
78,0.0,0,0,6980.01953125,12282.0
