Time,CPU Util (%),GPU Util (%),GPU Mem Util (%),GPU Mem Used (MB),GPU Mem Total (MB)
0,0.0,0,0,285.0,12282.0
3,0.0,0,0,285.0,12282.0
6,0.0,0,0,285.0,12282.0
9,0.0,0,0,285.0,12282.0
12,1.953125,0,0,285.0,12282.0
15,1.059375,10,0,5378.01953125,12282.0
18,1.48125,11,0,5688.01953125,12282.0
21,2.603125,67,54,6226.01953125,12282.0
24,3.109375,58,44,6260.01953125,12282.0
27,2.88125,96,60,6548.01953125,12282.0
30,3.109375,62,47,6548.01953125,12282.0
33,3.109375,63,48,6548.01953125,12282.0
36,2.896875,67,50,6836.01953125,12282.0
39,3.140625,67,51,6836.01953125,12282.0
42,1.546875,0,0,6836.01953125,12282.0
45,0.0,0,0,6836.01953125,12282.0
48,0.0,0,0,6836.01953125,12282.0
