Time,CPU Util (%),GPU Util (%),GPU Mem Util (%),GPU Mem Used (MB),GPU Mem Total (MB)
0,0.0,0,0,285.0,12282.0
3,0.0,0,0,285.0,12282.0
6,0.0,0,0,285.0,12282.0
9,0.0,0,0,285.0,12282.0
12,1.090625,0,0,285.0,12282.0
15,2.55625,3,0,5952.01953125,12282.0
18,2.9625,50,33,6136.01953125,12282.0
21,2.50625,28,19,6142.01953125,12282.0
24,2.684375,52,34,6152.01953125,12282.0
27,2.18125,29,18,6158.01953125,12282.0
30,2.2625,57,34,6170.01953125,12282.0
33,3.059375,45,31,6170.01953125,12282.0
36,3.075,45,31,6192.01953125,12282.0
39,2.946875,48,34,6206.01953125,12282.0
42,3.09375,47,34,6208.01953125,12282.0
45,3.125,47,35,6208.01953125,12282.0
48,3.109375,50,37,6208.01953125,12282.0
51,3.075,50,38,6208.01953125,12282.0
54,2.99375,53,40,6492.01953125,12282.0
57,3.075,51,40,6492.01953125,12282.0
60,3.09375,57,44,6492.01953125,12282.0
63,3.04375,54,42,6492.01953125,12282.0
66,2.3125,36,28,6492.01953125,12282.0
69,2.440625,58,46,6492.01953125,12282.0
72,2.23125,41,33,6492.01953125,12282.0
75,1.709375,29,23,6492.01953125,12282.0
78,0.0,0,0,6492.01953125,12282.0
81,0.0,0,0,6492.01953125,12282.0
84,0.0,0,0,6492.01953125,12282.0
