Time,CPU Util (%),GPU Util (%),GPU Mem Util (%),GPU Mem Used (MB),GPU Mem Total (MB)
0,0.0,0,0,285.0,12282.0
3,0.0,0,0,285.0,12282.0
6,0.0,0,0,285.0,12282.0
9,0.0,0,0,285.0,12282.0
12,1.86875,0,0,285.0,12282.0
15,1.384375,10,0,5430.01953125,12282.0
18,1.5125,8,1,5952.01953125,12282.0
21,2.653125,48,32,6134.01953125,12282.0
24,3.109375,47,31,6142.01953125,12282.0
27,3.0125,53,37,6246.01953125,12282.0
30,2.846875,54,39,6492.01953125,12282.0
33,3.109375,57,44,6492.01953125,12282.0
36,1.48125,0,0,6492.01953125,12282.0
39,0.0,0,0,6492.01953125,12282.0
42,0.0,0,0,6492.01953125,12282.0
