Time,CPU Util (%),GPU Util (%),GPU Mem Util (%),GPU Mem Used (MB),GPU Mem Total (MB)
0,0.0,1,19,527.5703125,6144.0
3,0.0,2,19,527.5703125,6144.0
6,0.0,1,19,527.5703125,6144.0
9,0.0,1,19,527.5703125,6144.0
12,5.641666666666667,1,19,527.5703125,6144.0
15,7.8500000000000005,1,19,527.5703125,6144.0
18,8.366666666666667,38,4,4106.7265625,6144.0
21,7.291666666666667,0,1,6102.7265625,6144.0
24,8.333333333333334,100,4,6110.7265625,6144.0
27,8.333333333333334,100,3,6110.7265625,6144.0
30,8.674999999999999,97,23,6110.7265625,6144.0
33,8.633333333333333,98,21,6110.7265625,6144.0
36,9.025,98,19,6110.7265625,6144.0
39,8.674999999999999,98,20,6110.7265625,6144.0
42,9.108333333333333,98,18,6110.7265625,6144.0
45,9.15,90,31,6110.7265625,6144.0
48,8.766666666666667,90,31,6110.7265625,6144.0
51,8.674999999999999,90,31,6110.7265625,6144.0
54,8.716666666666667,91,32,6110.7265625,6144.0
57,8.5,93,30,6110.7265625,6144.0
60,9.5,98,15,6110.7265625,6144.0
63,10.5,98,12,6110.7265625,6144.0
66,9.025,98,12,6110.7265625,6144.0
69,8.933333333333334,98,12,6110.7265625,6144.0
72,9.458333333333334,98,14,6110.7265625,6144.0
75,9.15,98,15,6110.7265625,6144.0
78,9.583333333333334,98,14,6110.7265625,6144.0
81,10.408333333333333,98,14,6110.7265625,6144.0
84,9.541666666666666,98,13,6110.7265625,6144.0
87,9.416666666666666,98,12,6110.7265625,6144.0
90,10.408333333333333,98,13,6110.7265625,6144.0
93,9.716666666666667,98,13,6110.7265625,6144.0
96,8.891666666666667,97,16,6110.7265625,6144.0
99,10.625,98,14,6110.7265625,6144.0
102,9.633333333333333,98,12,6110.7265625,6144.0
105,9.633333333333333,98,13,6110.7265625,6144.0
108,10.491666666666667,98,13,6110.7265625,6144.0
111,9.416666666666666,98,13,6110.7265625,6144.0
114,9.541666666666666,98,12,6110.7265625,6144.0
117,9.891666666666667,98,13,6110.7265625,6144.0
120,9.633333333333333,98,12,6110.7265625,6144.0
123,9.625,98,12,6110.7265625,6144.0
126,10.233333333333333,99,11,6110.7265625,6144.0
129,10.15,99,10,6110.7265625,6144.0
