Time,CPU Util (%),GPU Util (%),GPU Mem Util (%),GPU Mem Used (MB),GPU Mem Total (MB)
0,0.0,2,19,540.81640625,6144.0
3,0.0,2,19,540.81640625,6144.0
6,0.0,1,19,540.81640625,6144.0
9,0.0,1,19,540.81640625,6144.0
12,5.641666666666667,1,18,540.81640625,6144.0
15,7.7250000000000005,1,19,540.81640625,6144.0
18,3.6833333333333336,10,2,2561.97265625,6144.0
21,0.7416666666666667,13,4,4073.97265625,6144.0
24,1.2166666666666666,7,6,4081.97265625,6144.0
27,1.0833333333333333,18,24,4691.97265625,6144.0
30,1.5166666666666666,18,24,5801.97265625,6144.0
33,5.766666666666667,3,19,6107.97265625,6144.0
36,8.325000000000001,100,3,6107.97265625,6144.0
39,8.333333333333334,100,3,6107.97265625,6144.0
42,8.375,97,23,6107.97265625,6144.0
45,8.766666666666667,97,23,6107.97265625,6144.0
48,8.766666666666667,97,20,6107.97265625,6144.0
51,8.891666666666667,98,19,6107.97265625,6144.0
54,8.549999999999999,98,19,6107.97265625,6144.0
57,9.366666666666667,98,18,6107.97265625,6144.0
60,8.674999999999999,89,30,6107.97265625,6144.0
63,8.591666666666667,89,31,6107.97265625,6144.0
66,8.716666666666667,89,31,6107.97265625,6144.0
69,8.716666666666667,89,31,6107.97265625,6144.0
72,8.375,93,27,6107.97265625,6144.0
75,9.799999999999999,98,15,6107.97265625,6144.0
78,8.983333333333333,98,12,6107.97265625,6144.0
81,8.325000000000001,100,2,6107.97265625,6144.0
84,8.333333333333334,100,2,6107.97265625,6144.0
87,8.333333333333334,100,2,6107.97265625,6144.0
90,8.333333333333334,100,1,6107.97265625,6144.0
93,8.375,100,1,6107.97265625,6144.0
96,8.325000000000001,92,1,6107.97265625,6144.0
99,8.333333333333334,100,1,6107.97265625,6144.0
102,8.333333333333334,100,1,6107.97265625,6144.0
105,8.333333333333334,100,1,6107.97265625,6144.0
108,8.333333333333334,100,1,6107.97265625,6144.0
111,8.333333333333334,100,1,6107.97265625,6144.0
114,8.333333333333334,100,1,6107.97265625,6144.0
117,8.333333333333334,100,1,6107.97265625,6144.0
120,12.408333333333333,100,1,6107.97265625,6144.0
123,16.741666666666667,100,1,6107.97265625,6144.0
126,16.658333333333335,100,1,6107.97265625,6144.0
129,16.616666666666667,100,1,6107.97265625,6144.0
132,16.658333333333335,100,1,6107.97265625,6144.0
135,11.5,99,9,6107.97265625,6144.0
138,11.716666666666667,99,7,6107.97265625,6144.0
141,11.366666666666667,99,10,6107.97265625,6144.0
144,11.408333333333333,99,9,6107.97265625,6144.0
147,9.366666666666667,99,10,6107.97265625,6144.0
150,11.191666666666668,99,7,6107.97265625,6144.0
153,11.625,99,9,6107.97265625,6144.0
156,13.016666666666666,99,6,6107.97265625,6144.0
159,14.575000000000001,99,7,6107.97265625,6144.0
162,14.491666666666667,99,8,6107.97265625,6144.0
165,11.191666666666668,99,8,6107.97265625,6144.0
168,11.366666666666667,99,6,6107.97265625,6144.0
171,11.541666666666666,99,7,6107.97265625,6144.0
174,10.933333333333332,99,8,6107.97265625,6144.0
177,10.541666666666666,99,9,6107.97265625,6144.0
180,11.15,99,6,6107.97265625,6144.0
183,12.191666666666668,99,6,6107.97265625,6144.0
186,12.450000000000001,99,6,6107.97265625,6144.0
189,11.666666666666666,99,6,6107.97265625,6144.0
192,12.666666666666666,99,6,6107.97265625,6144.0
195,11.366666666666667,99,6,6107.97265625,6144.0
198,10.458333333333334,99,7,6107.97265625,6144.0
201,9.15,99,7,6107.97265625,6144.0
204,8.766666666666667,99,7,6107.97265625,6144.0
207,11.408333333333333,99,6,6107.97265625,6144.0
210,13.058333333333332,99,6,6107.97265625,6144.0
213,10.583333333333334,99,6,6107.97265625,6144.0
216,14.1,99,7,6107.97265625,6144.0
219,10.758333333333333,99,7,6107.97265625,6144.0
222,12.708333333333334,99,6,6107.97265625,6144.0
225,10.841666666666667,99,8,6107.97265625,6144.0
228,12.625,99,6,6107.97265625,6144.0
231,12.533333333333333,99,5,6107.97265625,6144.0
234,10.408333333333333,99,9,6107.97265625,6144.0
237,11.583333333333334,99,9,6107.97265625,6144.0
240,12.016666666666666,99,9,6107.97265625,6144.0
243,11.016666666666666,99,9,6107.97265625,6144.0
246,11.058333333333332,98,9,6107.97265625,6144.0
249,8.283333333333333,100,2,6107.97265625,6144.0
252,8.333333333333334,100,1,6107.97265625,6144.0
255,8.333333333333334,100,2,6107.97265625,6144.0
258,8.325000000000001,100,1,6107.97265625,6144.0
261,8.283333333333333,100,1,6107.97265625,6144.0
264,16.483333333333334,100,1,6092.97265625,6144.0
267,16.658333333333335,100,1,6092.97265625,6144.0
270,16.741666666666667,100,1,6092.97265625,6144.0
273,16.658333333333335,100,1,6092.97265625,6144.0
276,16.658333333333335,100,1,6092.97265625,6144.0
279,16.658333333333335,100,1,6092.97265625,6144.0
282,16.658333333333335,100,1,6092.97265625,6144.0
285,16.658333333333335,100,1,6092.97265625,6144.0
288,16.658333333333335,100,1,6092.97265625,6144.0
291,16.658333333333335,100,1,6092.97265625,6144.0
294,16.658333333333335,100,1,6092.97265625,6144.0
297,16.658333333333335,100,1,6092.97265625,6144.0
300,16.741666666666667,100,1,6092.97265625,6144.0
303,16.658333333333335,100,1,6092.97265625,6144.0
306,16.658333333333335,100,1,6092.97265625,6144.0
309,16.658333333333335,100,1,6092.97265625,6144.0
312,16.658333333333335,100,1,6092.97265625,6144.0
315,16.658333333333335,100,1,6092.97265625,6144.0
318,16.658333333333335,100,1,6092.97265625,6144.0
321,16.658333333333335,100,1,6092.97265625,6144.0
324,16.658333333333335,100,1,6092.97265625,6144.0
327,16.616666666666667,100,1,6092.97265625,6144.0
330,16.658333333333335,100,1,6092.97265625,6144.0
333,16.741666666666667,100,1,6092.97265625,6144.0
336,14.666666666666666,100,2,6092.97265625,6144.0
339,11.966666666666667,99,5,6092.97265625,6144.0
342,11.666666666666666,99,4,6092.97265625,6144.0
345,12.15,99,5,6092.97265625,6144.0
348,13.441666666666668,99,4,6092.97265625,6144.0
351,12.799999999999999,99,6,6092.97265625,6144.0
354,12.191666666666668,99,6,6092.97265625,6144.0
357,11.799999999999999,99,6,6092.97265625,6144.0
360,13.358333333333334,99,7,6092.97265625,6144.0
363,11.799999999999999,99,6,6092.97265625,6144.0
366,12.924999999999999,99,6,6092.97265625,6144.0
369,13.575000000000001,99,7,6092.97265625,6144.0
372,12.841666666666667,99,6,6092.97265625,6144.0
375,12.450000000000001,99,6,6092.97265625,6144.0
378,12.625,99,6,6092.97265625,6144.0
381,13.233333333333334,99,6,6092.97265625,6144.0
384,12.183333333333332,100,5,6092.97265625,6144.0
387,13.408333333333333,99,5,6092.97265625,6144.0
390,11.883333333333333,99,4,6092.97265625,6144.0
393,13.791666666666666,99,4,6092.97265625,6144.0
396,12.966666666666667,99,4,6092.97265625,6144.0
399,12.316666666666668,99,5,6092.97265625,6144.0
402,14.483333333333334,99,6,6092.97265625,6144.0
405,13.1,99,6,6092.97265625,6144.0
408,13.275,99,6,6092.97265625,6144.0
411,12.583333333333334,99,6,6092.97265625,6144.0
414,12.233333333333334,99,5,6092.97265625,6144.0
417,12.275,99,6,6092.97265625,6144.0
420,13.841666666666667,99,6,6092.97265625,6144.0
423,0.0,0,9,6092.97265625,6144.0
426,0.0,1,19,6092.97265625,6144.0
429,0.0,1,19,6092.97265625,6144.0
