Time,CPU Util (%),GPU Util (%),GPU Mem Util (%),GPU Mem Used (MB),GPU Mem Total (MB)
0,0.0,1,19,515.78515625,6144.0
3,0.0,1,19,515.78515625,6144.0
6,0.0,1,19,515.78515625,6144.0
9,0.0,1,19,515.78515625,6144.0
12,5.641666666666667,1,19,515.78515625,6144.0
15,5.325,0,19,515.78515625,6144.0
18,4.508333333333334,7,1,2536.94140625,6144.0
21,0.65,10,3,3548.94140625,6144.0
24,0.6916666666666668,10,3,4572.94140625,6144.0
27,0.9083333333333333,14,22,4606.94140625,6144.0
30,1.0416666666666667,18,24,5480.94140625,6144.0
33,2.9499999999999997,11,22,6038.94140625,6144.0
36,7.591666666666666,100,2,6110.94140625,6144.0
39,7.766666666666667,100,2,6112.94140625,6144.0
42,8.375,93,23,6112.94140625,6144.0
45,8.549999999999999,94,24,6112.94140625,6144.0
48,8.5,96,21,6112.94140625,6144.0
51,8.375,96,22,6112.94140625,6144.0
54,8.766666666666667,95,24,6112.94140625,6144.0
57,8.85,97,19,6112.94140625,6144.0
60,8.333333333333334,97,22,6112.94140625,6144.0
63,8.674999999999999,96,22,6112.94140625,6144.0
66,8.716666666666667,97,18,6112.94140625,6144.0
69,8.333333333333334,97,17,6112.94140625,6144.0
72,8.933333333333334,97,19,6112.94140625,6144.0
75,8.591666666666667,96,24,6112.94140625,6144.0
78,8.375,96,23,6112.94140625,6144.0
81,8.591666666666667,96,24,6112.94140625,6144.0
84,8.716666666666667,96,24,6112.94140625,6144.0
87,8.5,94,23,6112.94140625,6144.0
90,9.799999999999999,96,24,6112.94140625,6144.0
93,16.616666666666667,100,2,6112.94140625,6144.0
96,16.658333333333335,100,2,6112.94140625,6144.0
99,16.658333333333335,100,2,6112.94140625,6144.0
102,16.658333333333335,100,2,6112.94140625,6144.0
105,16.658333333333335,100,2,6112.94140625,6144.0
108,16.741666666666667,100,2,6112.94140625,6144.0
111,16.658333333333335,100,2,6112.94140625,6144.0
114,16.658333333333335,100,2,6112.94140625,6144.0
117,13.841666666666667,98,11,6112.94140625,6144.0
120,8.808333333333334,97,21,6112.94140625,6144.0
123,8.458333333333334,97,22,6112.94140625,6144.0
126,8.633333333333333,97,20,6112.94140625,6144.0
129,8.591666666666667,97,21,6112.94140625,6144.0
132,8.549999999999999,97,20,6112.94140625,6144.0
135,8.591666666666667,97,21,6112.94140625,6144.0
138,10.541666666666666,99,5,6112.94140625,6144.0
141,10.708333333333334,99,5,6112.94140625,6144.0
144,13.450000000000001,99,5,6112.94140625,6144.0
147,11.191666666666668,99,5,6112.94140625,6144.0
150,10.891666666666666,99,6,6112.94140625,6144.0
