Time,CPU Util (%),GPU Util (%),GPU Mem Util (%),GPU Mem Used (MB),GPU Mem Total (MB)
0,0.0,1,19,518.94140625,6144.0
3,0.0,1,19,518.94140625,6144.0
6,0.0,1,19,518.94140625,6144.0
9,0.0,0,19,518.94140625,6144.0
12,5.641666666666667,1,19,518.94140625,6144.0
15,7.8500000000000005,1,19,516.75390625,6144.0
18,8.283333333333333,35,3,4597.91015625,6144.0
21,7.466666666666666,47,2,6107.91015625,6144.0
24,8.333333333333334,100,2,6107.91015625,6144.0
27,8.549999999999999,83,24,6109.91015625,6144.0
30,8.5,93,24,6109.91015625,6144.0
33,8.633333333333333,95,23,6109.91015625,6144.0
36,8.458333333333334,97,21,6109.91015625,6144.0
39,8.5,96,21,6109.91015625,6144.0
42,8.458333333333334,98,10,6109.91015625,6144.0
45,8.333333333333334,100,2,6109.91015625,6144.0
48,8.333333333333334,100,2,6109.91015625,6144.0
51,8.375,100,2,6109.91015625,6144.0
54,8.333333333333334,100,2,6109.91015625,6144.0
57,8.333333333333334,100,2,6109.91015625,6144.0
60,8.325000000000001,100,2,6109.91015625,6144.0
63,8.333333333333334,100,2,6109.91015625,6144.0
66,8.333333333333334,100,2,6109.91015625,6144.0
69,10.366666666666667,100,2,6109.91015625,6144.0
72,15.483333333333334,100,2,6109.91015625,6144.0
75,8.108333333333333,97,19,6109.91015625,6144.0
78,8.933333333333334,97,20,6109.91015625,6144.0
81,11.666666666666666,99,5,6109.91015625,6144.0
84,12.625,99,6,6109.91015625,6144.0
87,13.575000000000001,99,5,6109.91015625,6144.0
90,12.1,99,6,6109.91015625,6144.0
93,8.241666666666667,99,6,6109.91015625,6144.0
96,8.333333333333334,99,6,6109.91015625,6144.0
99,10.15,99,6,6109.91015625,6144.0
102,12.366666666666667,99,6,6109.91015625,6144.0
105,13.708333333333334,99,5,6109.91015625,6144.0
108,9.541666666666666,99,6,6109.91015625,6144.0
111,11.708333333333334,99,6,6109.91015625,6144.0
114,12.841666666666667,99,6,6109.91015625,6144.0
117,11.625,99,5,6109.91015625,6144.0
120,12.016666666666666,99,5,6109.91015625,6144.0
123,11.583333333333334,99,5,6109.91015625,6144.0
126,9.975,98,5,6109.91015625,6144.0
129,8.333333333333334,100,1,6109.91015625,6144.0
132,8.333333333333334,100,1,6109.91015625,6144.0
135,8.333333333333334,100,1,6109.91015625,6144.0
138,8.333333333333334,100,1,6109.91015625,6144.0
141,8.375,100,1,6109.91015625,6144.0
144,8.333333333333334,100,1,6109.91015625,6144.0
147,8.333333333333334,100,1,6109.91015625,6144.0
150,8.333333333333334,100,1,6109.91015625,6144.0
153,8.333333333333334,100,1,6109.91015625,6144.0
156,8.333333333333334,100,1,6109.91015625,6144.0
159,8.325000000000001,100,1,6109.91015625,6144.0
162,8.325000000000001,100,1,6109.91015625,6144.0
165,9.191666666666666,100,1,6109.91015625,6144.0
168,16.741666666666667,100,1,6109.91015625,6144.0
171,16.658333333333335,100,1,6109.91015625,6144.0
174,16.7,100,1,6109.91015625,6144.0
177,16.658333333333335,100,1,6109.91015625,6144.0
180,16.658333333333335,100,1,6109.91015625,6144.0
183,16.658333333333335,100,1,6109.91015625,6144.0
186,16.658333333333335,100,1,6109.91015625,6144.0
189,16.658333333333335,100,1,6109.91015625,6144.0
192,16.658333333333335,100,1,6109.91015625,6144.0
195,16.658333333333335,100,1,6109.91015625,6144.0
198,16.7,100,1,6109.91015625,6144.0
201,16.658333333333335,100,1,6109.91015625,6144.0
204,16.658333333333335,100,1,6109.91015625,6144.0
207,15.658333333333333,100,1,6109.91015625,6144.0
210,12.666666666666666,99,4,6109.91015625,6144.0
213,12.666666666666666,99,4,6109.91015625,6144.0
216,13.575000000000001,99,4,6109.91015625,6144.0
219,12.625,99,5,6109.91015625,6144.0
222,11.450000000000001,99,5,6109.91015625,6144.0
225,13.358333333333334,99,4,6109.91015625,6144.0
228,12.491666666666667,99,4,6109.91015625,6144.0
231,12.058333333333332,99,4,6109.91015625,6144.0
234,12.883333333333333,99,5,6109.91015625,6144.0
237,12.1,99,4,6109.91015625,6144.0
240,12.275,99,4,6109.91015625,6144.0
243,12.666666666666666,99,4,6109.91015625,6144.0
246,13.016666666666666,99,4,6109.91015625,6144.0
249,13.708333333333334,99,4,6109.91015625,6144.0
252,11.666666666666666,99,4,6109.91015625,6144.0
255,12.450000000000001,99,5,6109.91015625,6144.0
258,11.5,99,5,6109.91015625,6144.0
261,12.841666666666667,99,4,6109.91015625,6144.0
264,12.625,99,4,6109.91015625,6144.0
267,12.275,99,4,6109.91015625,6144.0
270,12.924999999999999,99,4,6109.91015625,6144.0
273,13.533333333333333,99,4,6109.91015625,6144.0
276,11.616666666666667,99,4,6109.91015625,6144.0
279,12.275,99,5,6109.91015625,6144.0
282,12.450000000000001,99,5,6109.91015625,6144.0
285,12.450000000000001,99,5,6109.91015625,6144.0
288,12.1,99,4,6109.91015625,6144.0
291,11.541666666666666,99,4,6109.91015625,6144.0
294,12.799999999999999,99,4,6109.91015625,6144.0
297,4.6000000000000005,0,1,6109.91015625,6144.0
300,0.0,0,19,6109.91015625,6144.0
303,0.0,1,19,6109.91015625,6144.0
